Event,Site,Date,Round,White,Black,Result,FinalFEN
FICS unrated standard game,FICS freechess.org,2023.01.22,?,GMSo,GMDing,1/2-1/2,8/7p/5pk1/1r6/R7/6P1/7P/6K1 b - - 0 42
FICS unrated standard game,FICS freechess.org,2023.01.22,?,GMCaruana,GMCarlsen,0-1,5bk1/6p1/p3p2p/P1rb4/2N2B2/7P/6PK/2R5 w - - 3 34
FICS unrated standard game,FICS freechess.org,2023.01.22,?,GMNAbdusattorov,GMAronian,1/2-1/2,5r2/4b2r/1p2k1p1/p1p1pp2/P2pP2P/1P1P1RP1/2PB4/3K1R2 w - - 1 32
FICS unrated standard game,FICS freechess.org,2023.01.22,?,GMLuisPauloSupi,GMAdhiban,0-1,6k1/1p4p1/4p3/p2pP2p/P2Qn1b1/1P2Bq2/5P2/5KR1 w - - 0 50
FICS unrated standard game,FICS freechess.org,2023.01.22,?,ElineRoebers,IMRVaishali,1/2-1/2,6k1/8/7p/1P6/2N2b2/4p3/4K1r1/3R4 w - - 5 41
FICS unrated standard game,FICS freechess.org,2023.01.22,?,GMMaxWarmerdam,GMMAminTabatabaei,1/2-1/2,r1rqn1k1/1p3pbp/p1b1p1p1/3pB3/3P3P/2N3P1/PPRQPPB1/2R3K1 w - - 4 18
FICS unrated standard game,FICS freechess.org,2023.01.22,?,GMLami,IMThomasBeerdsen,1/2-1/2,5bk1/5pp1/8/3Q4/1P5q/P7/1B4R1/6K1 b - - 3 47
FICS unrated standard game,FICS freechess.org,2023.01.22,?,GMVelimirIvic,GMJergusPechac,1-0,6R1/5P1k/1p6/2p4p/b4B1K/6PP/P1p2r2/8 b - - 3 42
FICS unrated standard game,FICS freechess.org,2023.01.22,?,GMYilmaz,GMJSindarov,1-0,3r3k/2pq3p/pp3Q2/8/2R2P2/1P1n4/P2B4/3K1R2 b - - 0 38
FICS unrated standard game,FICS freechess.org,2023.01.22,?,GMAbhimanyuMishra,GMDonchenko,1/2-1/2,8/1Q3pk1/p3pp2/7r/8/P2qPP2/1P6/K1R5 b - - 2 29
FICS rated standard game,FICS freechess.org,2023.01.22,?,blore,KnightMeKing,0-1,6k1/8/4p3/3pPpp1/2pPn2p/2P2P1P/3r2K1/6Q1 w - - 4 46
FICS rated standard game,FICS freechess.org,2023.01.22,?,KnightMeKing,blore,0-1,7k/6p1/4Pp1p/5PnP/3R4/1Ppr4/P5Q1/K1q5 w - - 4 43
FICS rated standard game,FICS freechess.org,2023.01.22,?,blore,StickyPawn,0-1,r6r/ppkn3p/3p1bp1/1P6/2nN2p1/2P5/P4PPP/3R1RK1 w - - 0 19
FICS rated standard game,FICS freechess.org,2023.01.22,?,blore,PetkoPetkov,1/2-1/2,8/8/3p2pp/1k1Pp3/p3P1P1/P2K2P1/8/8 w - - 14 58
FICS rated standard game,FICS freechess.org,2023.01.22,?,StickyPawn,vinagouri,1-0,r4q2/p3prk1/1nb1Np1p/6p1/2P3P1/7P/PP1Q1P2/2R1R1K1 b - - 1 25
FICS rated standard game,FICS freechess.org,2023.01.22,?,PetkoPetkov,StickyPawn,0-1,r7/pp3kb1/3p4/3Pp3/4P3/2N2pPr/PP1R1P1P/6RK w - - 1 32
FICS rated standard game,FICS freechess.org,2023.01.22,?,floare,blore,1-0,r5k1/1R3ppp/2p1b3/p7/2n5/2N4P/P1Br1PP1/2Q2RK1 b - - 0 24
FICS rated standard game,FICS freechess.org,2023.01.22,?,MichailovA,Keffa,0-1,5rk1/ppp3b1/b4q1p/3Ppp2/7P/P1N2QP1/1PP5/4R1K1 w - - 1 25
FICS rated standard game,FICS freechess.org,2023.01.22,?,ArasanX,exeComp,1/2-1/2,8/8/1k6/8/2R5/r7/8/2K5 w - - 100 166
FICS rated standard game,FICS freechess.org,2023.01.22,?,damouno,Koosals,1-0,r2qkb1r/nb1p4/1p2ppB1/p2PP1p1/8/P1N1B3/1P3QPP/R4RK1 b kq - 1 18
FICS rated standard game,FICS freechess.org,2023.01.22,?,Koosals,damouno,0-1,8/3K4/p7/6k1/8/8/P5pp/3R4 w - - 0 60
FICS rated standard game,FICS freechess.org,2023.01.22,?,damouno,Koosals,1-0,2k5/p6R/4P3/2PP4/8/P5rp/1B2KR2/8 b - - 0 45
FICS rated standard game,FICS freechess.org,2023.01.22,?,floare,KnightMeKing,0-1,r3r1k1/pbb3pp/2p5/8/1P3p2/2PBN2P/P2BK1P1/R7 w - - 0 24
FICS rated standard game,FICS freechess.org,2023.01.22,?,KnightMeKing,floare,0-1,6r1/1p2P1kp/p7/8/P7/1P6/4pqPP/2R4K w - - 0 52
FICS rated standard game,FICS freechess.org,2023.01.22,?,konozrout,SEPry,0-1,8/5pkp/2PQ2p1/p2K4/3R2P1/1q4P1/8/5r2 w - - 2 40
FICS rated standard game,FICS freechess.org,2023.01.22,?,Indrayoga,hastrman,0-1,r3k2r/pp2p1b1/4p1pp/1p6/2n1N3/2P1B3/P1P2PPP/3R1RK1 w kq - 6 21
FICS rated standard game,FICS freechess.org,2023.01.22,?,rodnojo,damouno,0-1,8/p7/1p6/2pB4/P4kpp/1P2b3/5r2/4R2K w - - 4 65
FICS rated standard game,FICS freechess.org,2023.01.22,?,BobbyPL,Bkosuta,1-0,1r1k3Q/8/2BB2p1/q1pP2n1/8/2N5/PP6/4RRK1 b - - 0 35
FICS rated standard game,FICS freechess.org,2023.01.22,?,damouno,rodnojo,1/2-1/2,8/8/8/1N6/3kp3/4p3/3bK3/8 b - - 0 65
FICS rated standard game,FICS freechess.org,2023.01.22,?,Indrayoga,exeComp,1/2-1/2,5k2/r4p1p/1R2p3/P7/4P1p1/6P1/2r2PP1/R5K1 b - - 8 39
FICS rated standard game,FICS freechess.org,2023.01.22,?,blore,YurijNone,0-1,8/3r2k1/5p2/6PK/5p1P/8/8/8 b - - 0 61
FICS rated standard game,FICS freechess.org,2023.01.22,?,blore,KnightMeKing,0-1,8/1p1k3p/1p1b2p1/3p1p2/3B4/P6r/1P6/5RK1 w - - 0 30
FICS rated standard game,FICS freechess.org,2023.01.22,?,KnightMeKing,blore,1/2-1/2,8/4B3/1pbPk3/p6p/3K3P/P7/8/8 b - - 3 41
FICS rated standard game,FICS freechess.org,2023.01.22,?,blore,KnightMeKing,0-1,8/6pk/2p4p/p7/P4p2/5P2/1q1p1K2/1R6 w - - 0 54
FICS rated standard game,FICS freechess.org,2023.01.22,?,exeComp,algra,1-0,6k1/3p1pp1/2rP3p/R1P1n3/3p4/3P4/2PKNPPP/8 b - - 0 25
FICS rated standard game,FICS freechess.org,2023.01.22,?,SEPry,konozrout,0-1,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
FICS rated standard game,FICS freechess.org,2023.01.22,?,konozrout,SEPry,0-1,2r5/pp6/2b1p1kp/5p2/1R5K/7P/PP4r1/1R6 w - - 2 32
FICS rated standard game,FICS freechess.org,2023.01.22,?,lutidol,Indrayoga,1/2-1/2,8/8/5pk1/3R3p/6p1/4P1P1/r4PK1/8 b - - 5 39
FICS rated standard game,FICS freechess.org,2023.01.22,?,mcstorytaller,blore,0-1,5rk1/2R4p/p5pQ/1p1pq3/8/1P6/P5PP/4K3 w - - 4 33
FICS rated standard game,FICS freechess.org,2023.01.22,?,blore,mcstorytaller,1/2-1/2,5b2/8/6K1/8/4k3/8/8/8 w - - 0 55
FICS rated standard game,FICS freechess.org,2023.01.21,?,mcstorytaller,damouno,0-1,8/8/8/8/5kq1/7p/7K/8 w - - 0 67
FICS rated standard game,FICS freechess.org,2023.01.21,?,Notarious,ArasanX,1/2-1/2,8/1R1b1p2/3k1p1p/p3p2P/4P1P1/P4P2/r3B3/5K2 w - - 52 71
FICS rated standard game,FICS freechess.org,2023.01.21,?,damouno,mcstorytaller,1-0,r2q1rk1/pb3p2/1p3P1p/3pP1N1/2nP1Q2/3B4/P5PP/R4RK1 b - - 0 19
FICS rated standard game,FICS freechess.org,2023.01.21,?,mcstorytaller,damouno,0-1,8/6k1/1p2p3/p2p1pPQ/3P1P2/6K1/8/6q1 w - - 1 49
FICS rated standard game,FICS freechess.org,2023.01.21,?,JackBootedThug,blore,0-1,2r1r1k1/ppq4p/4b1p1/2p1npPn/2Pp4/P2P1Q1P/1P4BK/R1B1RN2 w - - 0 23
FICS rated standard game,FICS freechess.org,2023.01.21,?,damouno,mcstorytaller,1-0,1k1r4/3P1pp1/p6p/1p3B2/1P6/P7/6KP/2R2R2 b - - 0 29
FICS rated standard game,FICS freechess.org,2023.01.21,?,mcstorytaller,damouno,0-1,8/8/1p6/3k4/1P1p3p/P6P/2K5/4q3 w - - 0 56
FICS rated standard game,FICS freechess.org,2023.01.21,?,hastrman,Achonk,0-1,8/8/p5pk/P2p4/2b3Kp/7P/2P5/4r3 w - - 0 49
FICS rated standard game,FICS freechess.org,2023.01.21,?,ArasanX,exeComp,1/2-1/2,8/8/7k/8/6K1/8/8/8 b - - 0 57
FICS rated standard game,FICS freechess.org,2023.01.21,?,Aromas,StickyPawn,0-1,4kb1r/2p2pp1/7p/1q1p4/1r1pP1PP/1K1P1B2/2PQ1P2/R6R w k - 0 24
FICS rated standard game,FICS freechess.org,2023.01.21,?,StickyPawn,Aromas,1-0,6k1/8/7K/1pPp2P1/8/P1P4p/7P/8 b - - 0 52
FICS rated standard game,FICS freechess.org,2023.01.21,?,GriffyJr,family,0-1,8/2R1bk2/2K4p/2N4q/8/8/8/8 w - - 0 57
FICS rated standard game,FICS freechess.org,2023.01.21,?,Aromas,StickyPawn,1-0,8/8/8/8/k1K5/8/8/R4B2 b - - 22 73
FICS rated standard game,FICS freechess.org,2023.01.21,?,exeComp,ArasanX,1/2-1/2,7k/6p1/2B4p/pP1p2rP/R4pq1/2P2b2/5Q1R/5K2 b - - 13 44
FICS rated standard game,FICS freechess.org,2023.01.21,?,GaiusGracchus,VictoriaBot,1-0,r1bqkb1r/pp2p3/2n1P1B1/3pp3/2p5/2P5/PP1P1PPP/RNB1K2R b KQkq - 0 12
FICS rated standard game,FICS freechess.org,2023.01.21,?,VictoriaBot,GaiusGracchus,0-1,2r2bk1/5pp1/4p1p1/2r3Pn/3qP1QP/8/2p1BP2/R4R1K w - - 4 37
FICS rated standard game,FICS freechess.org,2023.01.21,?,GaiusGracchus,VictoriaBot,1-0,r1bqkb1r/pp2p3/2n1P1Q1/3pp3/2p5/2P5/PP1P1PPP/RNB1K2R b KQkq - 0 12
FICS rated standard game,FICS freechess.org,2023.01.21,?,VictoriaBot,GaiusGracchus,0-1,2r2bk1/5pp1/4p1p1/2r3Pn/3qP1QP/8/2p1BP2/R4R1K w - - 4 37
FICS rated standard game,FICS freechess.org,2023.01.21,?,GaiusGracchus,VictoriaBot,1-0,r1bqkb1r/pp2p3/2n1P1Q1/3pp3/2p5/2P5/PP1P1PPP/RNB1K2R b KQkq - 0 12
FICS rated standard game,FICS freechess.org,2023.01.21,?,VictoriaBot,GaiusGracchus,0-1,2r2bk1/5pp1/4p1p1/2r3Pn/3qP1QP/8/2p1BP2/R4R1K w - - 4 37
FICS unrated standard game,FICS freechess.org,2023.01.21,?,GMAdhiban,GMJergusPechac,0-1,8/kbp5/2p3rQ/ppb4p/4p2P/1P2N1q1/P1P1R1P1/3R2K1 w - - 2 37
FICS unrated standard game,FICS freechess.org,2023.01.21,?,IMRVaishali,GMLuisPauloSupi,1-0,2k3r1/2n1p3/p2p2N1/1p6/7b/6R1/P1P1R2P/6K1 b - - 0 36
FICS unrated standard game,FICS freechess.org,2023.01.21,?,GMMAminTabatabaei,GMLami,1-0,2R5/3Q4/8/1p1k4/2q5/6P1/1bp2PK1/8 b - - 13 61
FICS unrated standard game,FICS freechess.org,2023.01.21,?,IMThomasBeerdsen,GMAbhimanyuMishra,1-0,8/4P3/2b2b2/3k1N2/1P6/2P5/1K2B3/8 w - - 3 59
FICS unrated standard game,FICS freechess.org,2023.01.21,?,GMJSindarov,ElineRoebers,1-0,2r3k1/6pp/2pBn1r1/2P2N2/pPP5/P1K4P/5RP1/8 b - - 8 42
FICS unrated standard game,FICS freechess.org,2023.01.21,?,GMMaxWarmerdam,GMVelimirIvic,1/2-1/2,8/5p2/pBp2P2/2P5/2k3b1/8/8/4K3 b - - 14 73
FICS unrated standard game,FICS freechess.org,2023.01.21,?,GMDonchenko,GMYilmaz,1-0,4b3/2k1n3/1p1p1p2/pP2PPp1/P2P2Pp/1B3N2/5KP1/8 b - - 0 47
FICS rated standard game,FICS freechess.org,2023.01.21,?,SSDDFF,konozrout,0-1,r4k2/pN3ppp/8/2pp4/8/P5P1/n1q2P1P/4R1K1 w - - 2 28
FICS rated standard game,FICS freechess.org,2023.01.21,?,KnightMeKing,damouno,0-1,5b2/p6p/4P1pk/2p1B3/4Q3/1P2P1qp/P6r/2R4K w - - 3 34
FICS rated standard game,FICS freechess.org,2023.01.21,?,damouno,KnightMeKing,1-0,2Q5/p5p1/1pp4r/qk2B1p1/3Pp3/4P1PP/PP2Q1K1/2R5 b - - 4 32
FICS rated standard game,FICS freechess.org,2023.01.21,?,gron,blore,1-0,8/1RkP4/p3K2p/P6r/8/8/8/8 b - - 0 68
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,gron,1-0,8/pp5p/6p1/1Q6/6P1/k4P2/2pK3P/8 b - - 1 40
FICS rated standard game,FICS freechess.org,2023.01.21,?,SEPry,konozrout,1-0,8/6k1/4P1p1/3Q2P1/5K2/8/8/6r1 b - - 2 69
FICS rated standard game,FICS freechess.org,2023.01.21,?,gron,blore,0-1,rnb3k1/qp3rpp/p2B4/3PN3/N3p3/6b1/PP2B1PP/R2Q1K2 w - - 1 18
FICS rated standard game,FICS freechess.org,2023.01.21,?,konozrout,SEPry,1-0,8/6p1/5k2/5n2/5Q2/3R4/8/2K5 w - - 1 48
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,KnightMeKing,0-1,3r1r1k/pp4p1/7p/5p1Q/5P1P/2qBR3/2n2K2/8 w - - 0 30
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,rodnojo,1-0,r1b3kr/pp1p2Qp/3Np1nB/5p2/2P5/8/PP3qPP/2KRR3 b - - 1 21
FICS rated standard game,FICS freechess.org,2023.01.21,?,rodnojo,blore,0-1,8/8/5B2/1p1k4/8/3K3p/1P6/8 w - - 0 40
FICS rated standard game,FICS freechess.org,2023.01.21,?,pikozrout,BobbyPL,0-1,5r2/8/8/pPP5/P5k1/5n2/4K1pp/1R6 w - - 0 63
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,damouno,0-1,8/8/8/Q7/8/3p4/3q3K/4k3 w - - 6 69
FICS rated standard game,FICS freechess.org,2023.01.21,?,aRabatib,exeComp,0-1,6k1/p4p1p/4p1p1/3p4/P2P4/P3rP2/6rP/3K4 w - - 0 31
FICS rated standard game,FICS freechess.org,2023.01.21,?,exeComp,aRabatib,1-0,r4k1Q/1bb2p2/pp2q1pN/3n2B1/P7/6P1/1P3PBP/4R1K1 b - - 2 25
FICS rated standard game,FICS freechess.org,2023.01.21,?,SRCorney,Slek,1-0,8/Q7/6k1/1r6/8/P7/1KP5/8 w - - 1 49
FICS rated standard game,FICS freechess.org,2023.01.21,?,Slek,KnightMeKing,0-1,3br2k/7p/1p3Nr1/p1pPp2R/2P1P3/1P2B2q/P5P1/6K1 w - - 0 33
FICS rated standard game,FICS freechess.org,2023.01.21,?,ArasanX,Notarious,1/2-1/2,8/BP3R2/6k1/4p2p/4pppK/4n1P1/5r1P/8 w - - 10 50
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,Slek,0-1,8/3k2bp/p2B2p1/Np1npp2/8/5P2/P3K1PP/8 b - - 0 37
FICS rated standard game,FICS freechess.org,2023.01.21,?,Slek,blore,0-1,r3k3/ppp3qn/3p2P1/3Pp3/2N5/4B3/PPP2PP1/R3K3 w Qq - 0 23
FICS rated standard game,FICS freechess.org,2023.01.21,?,Betin,Slek,1-0,8/8/6p1/Pk4K1/1P6/6B1/6P1/8 b - - 0 62
FICS rated standard game,FICS freechess.org,2023.01.21,?,SEPry,konozrout,1/2-1/2,2nbr1k1/pp1b1ppp/7q/1P1N4/8/3BPN1P/2Q2PP1/R5K1 b - - 8 31
FICS rated standard game,FICS freechess.org,2023.01.21,?,exeComp,Ruvarashe,1-0,rn3rk1/pbp2ppp/1p2pn2/4N2q/P2P4/2PB4/2P1QPPP/R1B2RK1 b - - 2 11
FICS rated standard game,FICS freechess.org,2023.01.21,?,konozrout,SEPry,1-0,3r2k1/6p1/p1Nqp2p/1pP5/4p2Q/8/PP3PPP/4R1K1 w - - 2 28
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,SRCorney,1-0,2r5/1K1R4/2P1k3/8/8/8/8/8 b - - 6 67
FICS rated standard game,FICS freechess.org,2023.01.21,?,Ruvarashe,exeComp,0-1,rnbqkbnr/pp1ppppp/8/2p5/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2
FICS rated standard game,FICS freechess.org,2023.01.21,?,SEPry,konozrout,1-0,rB3k2/pp4p1/2n4p/2b2Q2/8/Pq1B3P/6P1/R3R2K b - - 5 30
FICS rated standard game,FICS freechess.org,2023.01.21,?,konozrout,SEPry,1-0,rnb1kbnr/ppp1pppp/8/8/8/2N5/PPPPBP1N/R1BQK1R1 b Qkq - 0 7
FICS rated standard game,FICS freechess.org,2023.01.21,?,SRCorney,blore,1-0,4r2k/2p2N1p/pn4p1/1p2q3/8/1PP3Q1/1P4PP/5R1K b - - 1 27
FICS rated standard game,FICS freechess.org,2023.01.21,?,exeComp,Ruvarashe,1-0,r2q1k1r/pb2np2/1p1pp1p1/2p1b1Pp/Q1P1P2P/2NP2P1/PP2NRB1/5RK1 b - - 2 16
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,SRCorney,1-0,2k5/2P5/1K6/8/4P3/8/7N/8 b - - 0 50
FICS rated standard game,FICS freechess.org,2023.01.21,?,Ruvarashe,exeComp,0-1,r1bqkb1r/1p3ppp/p1n1pn2/2Pp4/5B2/NQP1PN2/PP3PPP/R3KB1R w KQkq - 0 9
FICS rated standard game,FICS freechess.org,2023.01.21,?,Betin,MichailovA,0-1,1k4r1/p1p5/1p1pp3/3b4/Q4P2/R5P1/1P5q/5K2 b - - 1 35
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,Koosals,1-0,2r3k1/2p3p1/2R4p/1r6/3P3P/4PN2/1PR2KP1/8 b - - 2 31
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,KnightMeKing,1-0,8/8/8/8/2k5/2p1K3/2P1R3/8 b - - 12 70
FICS rated standard game,FICS freechess.org,2023.01.21,?,kunde,blore,0-1,8/4Q2p/p2p2pk/1p1Pb3/4P3/1P1p3P/P4qB1/7K w - - 5 34
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,kunde,1/2-1/2,8/8/2p4p/1nPp2k1/3P2P1/5K2/2N5/8 w - - 18 60
FICS rated standard game,FICS freechess.org,2023.01.21,?,Betin,blore,1/2-1/2,8/8/2k2p2/1p3P1p/1P2K2P/8/8/8 w - - 12 59
FICS rated standard game,FICS freechess.org,2023.01.21,?,dapuntos,Koosals,1-0,r2k2r1/pbqpb3/1pp1N2p/4P2Q/1nP1Bp2/2N5/PP3PPP/R2R2K1 b - - 0 18
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,damouno,1/2-1/2,8/N7/8/2k5/8/1K6/8/8 b - - 0 119
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,Betin,1/2-1/2,8/R5p1/5rk1/8/8/8/8/6K1 b - - 7 69
FICS rated standard game,FICS freechess.org,2023.01.21,?,ethicalRascal,blore,0-1,8/6k1/4p3/3bP1Pp/1Kpb3P/8/p7/3R4 w - - 0 50
FICS rated standard game,FICS freechess.org,2023.01.21,?,blore,ethicalRascal,1/2-1/2,3k4/p2b3p/2p5/4Q3/3P4/4P3/PP2K1P1/q7 w - - 19 47
FICS rated standard game,FICS freechess.org,2023.01.21,?,Achonk,gron,1-0,r2qkb1Q/1b2np2/p4Npp/1p6/1P3NP1/P2pP2P/2nP1PB1/1RB2RK1 b q - 1 19
FICS rated standard game,FICS freechess.org,2023.01.21,?,ethicalRascal,blore,0-1,8/5p1k/4p1pP/4P3/8/Kp5R/8/qr6 w - - 0 48
FICS rated standard game,FICS freechess.org,2023.01.21,?,gron,Achonk,0-1,5r1k/2p2p1b/p2p2pP/3P3P/4P3/3q1pR1/P4P2/2BK3R w - - 1 34
FICS rated standard game,FICS freechess.org,2023.01.20,?,Notarious,ArasanX,1/2-1/2,8/5pk1/5bp1/3q3p/1Q6/1nP2P2/1N2R1P1/1K6 w - - 23 55
FICS rated standard game,FICS freechess.org,2023.01.20,?,Achonk,hastrman,1-0,4B1k1/p1p3Bp/n7/3N2R1/2P1p3/P2PP2P/3K4/8 b - - 0 33
FICS rated standard game,FICS freechess.org,2023.01.20,?,hastrman,Achonk,1-0,6kR/5pP1/1qr5/7p/p3P3/PbQ3PP/6BK/8 b - - 1 40
FICS rated standard game,FICS freechess.org,2023.01.20,?,ArasanX,Notarious,1/2-1/2,4k3/2R5/6pQ/2PPp1n1/6P1/2q3P1/8/3K4 b - - 26 65
FICS rated standard game,FICS freechess.org,2023.01.20,?,aRabatib,exeComp,0-1,6r1/7p/8/4p2P/P1kp3K/5P2/5P2/7q w - - 6 41
FICS rated standard game,FICS freechess.org,2023.01.20,?,exeComp,aRabatib,1-0,r1bqk2r/p1p2pNp/2p5/3pP3/1b6/8/PPP2PPP/RNBQ1RK1 b kq - 0 10
FICS rated standard game,FICS freechess.org,2023.01.20,?,exeComp,ArasanX,1/2-1/2,6k1/8/6P1/6K1/8/8/8/8 w - - 13 82
FICS rated standard game,FICS freechess.org,2023.01.20,?,Aromas,IFDThor,0-1,3rk2r/nBp1bppp/5q2/8/8/3Q4/5PPP/1R4K1 w - - 3 21
FICS rated standard game,FICS freechess.org,2023.01.20,?,IFDThor,Aromas,1-0,r3k2r/p1Q2R2/6n1/1BP3pp/3Pp3/P3P2q/3B3P/R5K1 b - - 2 26
FICS rated standard game,FICS freechess.org,2023.01.20,?,guarionex,blore,0-1,3b4/7k/8/3N4/2P1K2P/pp4P1/8/8 w - - 0 63
FICS rated standard game,FICS freechess.org,2023.01.20,?,Notarious,ArasanX,1-0,k7/1p6/6p1/1p2Q3/8/6P1/rpK5/8 b - - 8 70
FICS rated standard game,FICS freechess.org,2023.01.20,?,SRCorney,MichaelOgbeide,1-0,1Nbk1r2/p4p2/8/B2pQP2/4n2q/3p4/PP5P/4R1K1 b - - 12 33
FICS rated standard game,FICS freechess.org,2023.01.20,?,MichaelOgbeide,SRCorney,1-0,3R4/k1Q3p1/pp2qp2/4n3/4P1Pp/1PP4P/P5BK/8 b - - 0 35
FICS rated standard game,FICS freechess.org,2023.01.20,?,SRCorney,MichaelOgbeide,0-1,1Q6/3k1p2/p1b1p1qK/4P3/2pp1P2/2P1P3/8/8 w - - 8 44
FICS rated standard game,FICS freechess.org,2023.01.20,?,MichaelOgbeide,SRCorney,1-0,5rk1/1pp3p1/p2p4/7R/3PP2P/P7/1P1KR3/1N6 b - - 0 35
FICS rated standard game,FICS freechess.org,2023.01.20,?,SRCorney,MichaelOgbeide,0-1,6k1/8/P5p1/Q1ppb2p/1p6/1P6/1K6/3q4 w - - 12 55
FICS rated standard game,FICS freechess.org,2023.01.20,?,MichaelOgbeide,SRCorney,0-1,8/8/2k5/Kq6/8/8/8/8 w - - 18 82
FICS rated standard game,FICS freechess.org,2023.01.20,?,SRCorney,MichaelOgbeide,0-1,8/2k5/8/2q2K2/8/4q3/8/8 w - - 8 108
FICS rated standard game,FICS freechess.org,2023.01.20,?,Speyside,coolchessteam,1-0,6k1/5p1p/1p1r2q1/p2PQ1p1/6P1/4P3/PP2K3/3R4 b - - 2 37
FICS rated standard game,FICS freechess.org,2023.01.20,?,Indrayoga,GriffyJr,1-0,8/K7/4k3/1Q4pB/5p2/4p2P/6P1/8 b - - 2 51
FICS rated standard game,FICS freechess.org,2023.01.20,?,GriffyJr,family,0-1,8/8/p3K2p/P6k/3P3P/8/8/5q2 w - - 0 50
FICS rated standard game,FICS freechess.org,2023.01.20,?,exeComp,Lancophone,1-0,rnbqk1nr/pppp1ppp/8/4p3/2B1P3/5N2/PPPP1bPP/RNBQK2R w KQkq - 0 4
FICS rated standard game,FICS freechess.org,2023.01.20,?,kristijanZD,DejanDaca,1-0,6k1/5r1p/p1B1Qnp1/1pq5/2p5/2P2N1P/PP3PP1/4R1K1 b - - 0 28
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMLami,GMMaxWarmerdam,1-0,5k2/5P2/8/8/p1n5/P1K2B2/6P1/8 b - - 2 50
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMAbhimanyuMishra,GMMAminTabatabaei,1/2-1/2,2k2R2/8/K3P3/P7/8/3p4/8/4r3 b - - 9 79
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMYilmaz,IMThomasBeerdsen,1/2-1/2,b1rr2k1/p4ppp/Pp1np1n1/8/2PP3q/4QN2/1B2BPPP/2R1R1K1 b - - 15 28
FICS unrated standard game,FICS freechess.org,2023.01.20,?,ElineRoebers,GMDonchenko,0-1,4k2r/1p1nbp2/2p1p3/2PpP2p/1B1n4/5P2/q4P2/1R1Q1K1R w k - 0 28
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMLuisPauloSupi,GMJSindarov,1/2-1/2,6r1/1p3q1k/p7/3p2Qp/P2Pp1pP/4N1P1/1P3rPK/2R5 w - - 20 43
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMJergusPechac,IMRVaishali,0-1,1rn5/3k4/3Pp3/p1K1Bp1p/3P2p1/7P/5PP1/7R b - - 4 41
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMVelimirIvic,GMAdhiban,1/2-1/2,8/8/pN6/P4r1p/R7/2k3K1/8/8 w - - 31 65
FICS rated standard game,FICS freechess.org,2023.01.20,?,GoldBarMM,pikozrout,1-0,8/pp6/2p1R1R1/5k2/7K/3r1P2/PP6/8 b - - 6 49
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMCaruana,GMDGukesh,1-0,5rk1/RR5p/5pn1/4p3/8/P3P3/3KBPPr/8 b - - 2 36
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMRapport,GMPMaghsoodloo,1/2-1/2,6k1/5p2/6pB/1B6/3bp3/8/1n3PPP/6K1 w - - 1 34
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMVanForeest,GMCarlsen,1/2-1/2,8/PK5R/4p3/6P1/8/6k1/7p/r7 b - - 13 54
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMNAbdusattorov,GMRPraggnanandhaa,1/2-1/2,8/5pk1/8/2n1PNp1/8/r5PP/5K2/3R4 b - - 12 54
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMGiri,GMArjunErigaisi,1/2-1/2,3k4/6p1/3r3p/5K2/7P/8/R5P1/8 w - - 7 46
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMDing,GMAronian,1/2-1/2,6k1/1pQ1n1p1/p6p/P2rN2P/R2PqpP1/1P6/5P1K/8 b - - 10 48
FICS unrated standard game,FICS freechess.org,2023.01.20,?,GMSo,GMVincentKeymer,1-0,8/5p2/6p1/3kP2P/n2B2P1/8/2K2P2/8 b - - 0 51
FICS rated standard game,FICS freechess.org,2023.01.20,?,blore,mcstorytaller,1/2-1/2,5r2/1p4pk/p3Q3/3p2B1/P1nP4/8/1q4PP/2R3K1 w - - 19 43
FICS rated standard game,FICS freechess.org,2023.01.20,?,pikozrout,GoldBarMM,0-1,6k1/2B2p2/1p2p2p/6p1/4b2P/3r2K1/PP3P2/8 w - - 2 40
