Event,Site,Date,Round,White,Black,Result,FinalFEN
FICS rated standard game,FICS freechess.org,2023.01.31,?,exeComp,GonzalesZS,1-0,1k3b1r/1p1q3p/1B1p1p2/p1rPpPp1/P3P3/3P3P/3Q2P1/R1R3K1 b - - 2 24
FICS rated standard game,FICS freechess.org,2023.01.31,?,exeComp,ArasanX,1/2-1/2,5b2/8/1p6/p1p1p2k/P1PpP3/1P1N2P1/6K1/8 b - - 100 142
FICS rated standard game,FICS freechess.org,2023.01.31,?,ArasanX,HappyPawns,1-0,6Q1/3rk3/4Q3/pp4P1/8/5P2/5PK1/8 b - - 6 54
FICS rated standard game,FICS freechess.org,2023.01.31,?,megielszmergiel,exeComp,1/2-1/2,8/8/8/1r1k4/7R/K7/8/8 w - - 100 136
FICS rated standard game,FICS freechess.org,2023.01.31,?,exeComp,megielszmergiel,1/2-1/2,7k/8/5N1P/8/8/4K3/8/8 b - - 0 91
FICS rated standard game,FICS freechess.org,2023.01.31,?,Aromas,IFDThor,0-1,r1bq1rk1/ppp2ppp/2n1pn2/1N6/1P2P3/P3BP2/3Q2PP/b3KBNR w K - 0 13
FICS rated standard game,FICS freechess.org,2023.01.31,?,Aromas,IFDThor,0-1,2kbQ3/pp5p/4pqp1/2p5/8/2P2P2/P1K1BP2/8 w - - 0 30
FICS rated standard game,FICS freechess.org,2023.01.31,?,Aromas,IFDThor,0-1,6k1/p4p2/2p4Q/4pq2/8/6P1/rr4P1/6RK w - - 0 31
FICS rated standard game,FICS freechess.org,2023.01.31,?,Aromas,IFDThor,0-1,3r3k/ppp3pp/8/4p1rq/2P5/P3B3/1K3PPP/8 w - - 0 22
FICS rated standard game,FICS freechess.org,2023.01.31,?,kamenozrout,HappyPawns,0-1,r5k1/5ppp/p1p1p3/6q1/1r6/K1P5/P1P3PP/3R3R w - - 0 30
FICS rated standard game,FICS freechess.org,2023.01.31,?,Aromas,IFDThor,0-1,1kr5/1p1r1ppR/5n2/1Q1Pp3/3pP3/P4P2/1P6/K2q4 w - - 0 26
FICS rated standard game,FICS freechess.org,2023.01.31,?,Demicka,Speyside,0-1,3b3k/6pp/8/8/6QR/1P4PK/r7/5q2 w - - 6 52
FICS rated standard game,FICS freechess.org,2023.01.31,?,Notarious,exeComp,1-0,7k/P1K3R1/6pP/8/8/r7/8/8 w - - 3 65
FICS rated standard game,FICS freechess.org,2023.01.31,?,HappyPawns,IFDThor,1-0,r2q4/p3r3/1kp1p2Q/P2pB3/3P4/1R3N1P/1PP1bPP1/R5K1 b - - 0 26
FICS unrated standard game,FICS freechess.org,2023.01.31,?,tiborgbalogh,ambchss,1-0,r2qk2r/pp3ppp/8/3pPb2/3P4/3QPNnP/PP1B2P1/RK4N1 w kq - 5 19
FICS rated standard game,FICS freechess.org,2023.01.31,?,kunde,Slek,1-0,8/pR6/8/4kPb1/2P2p2/3P4/PP6/4K3 b - - 0 38
FICS rated standard game,FICS freechess.org,2023.01.31,?,Slek,kunde,1/2-1/2,8/2n5/3bNkp1/1BpPp3/1pP1P1K1/pP6/P7/8 w - - 7 45
FICS rated standard game,FICS freechess.org,2023.01.31,?,exeComp,GonzalesZS,1-0,rq3k1r/ppp1nPbp/Pn2B1pB/3p4/4N3/2Q5/1PP3PP/R4RK1 b - - 4 23
FICS rated standard game,FICS freechess.org,2023.01.31,?,Alexbourg,scalaQueen,0-1,r1b2rk1/pp1pbppp/2n3q1/2pNp3/2B1P1Q1/2PP4/PP3PPP/R1B1K2R w KQ - 3 11
FICS rated standard game,FICS freechess.org,2023.01.31,?,kamenozrout,HappyPawns,0-1,6k1/5p1p/3p2p1/P2P4/7P/6P1/5bQK/2q1q3 w - - 0 37
FICS rated standard game,FICS freechess.org,2023.01.31,?,scalaQueen,Alexbourg,1-0,8/2kp1R2/ppb2R2/4N3/2r1p3/P5Pr/1P5P/6K1 b - - 5 33
FICS rated standard game,FICS freechess.org,2023.01.31,?,hastrman,Indrayoga,0-1,3r2k1/p1p2pp1/B6p/8/2p2P2/P3K1qb/1PQ1P3/R7 w - - 0 25
FICS unrated standard game,FICS freechess.org,2023.01.31,?,tiborgbalogh,Najma,1/2-1/2,6k1/1p6/2pR2P1/8/p7/P2pR3/1P6/K2q4 w - - 11 44
FICS rated standard game,FICS freechess.org,2023.01.31,?,kunde,Slek,1-0,1r6/4k1P1/7K/8/8/8/8/5R2 b - - 0 73
FICS rated standard game,FICS freechess.org,2023.01.31,?,Alexbourg,scalaQueen,1-0,6k1/4Q2Q/8/8/8/1P2p3/8/4K3 b - - 7 58
FICS rated standard game,FICS freechess.org,2023.01.31,?,scalaQueen,Alexbourg,1-0,8/p3k3/8/1ppbB2P/3p4/P1n2P2/2P2K2/8 w - - 1 36
FICS rated standard game,FICS freechess.org,2023.01.31,?,GriffyJr,HappyPawns,0-1,8/6pp/p7/2p4k/1ppn2n1/1P1P2P1/3K4/3B4 w - - 0 51
FICS rated standard game,FICS freechess.org,2023.01.31,?,Alexbourg,scalaQueen,0-1,2r4k/5p1p/5p2/1n2p1P1/pNp1P3/2r4P/P4P2/2R1K2R w K - 0 26
FICS rated standard game,FICS freechess.org,2023.01.31,?,scalaQueen,Alexbourg,1-0,3r4/3B2k1/5r2/PP3p1p/3R4/2P2P2/2K2P2/8 b - - 0 43
FICS rated standard game,FICS freechess.org,2023.01.30,?,Demicka,Speyside,0-1,6k1/1K4p1/7p/2P5/8/3r3P/1p6/8 w - - 0 53
FICS rated standard game,FICS freechess.org,2023.01.30,?,ArasanX,exeComp,1/2-1/2,8/3k1p2/Bpp1p2p/p3PPp1/P3K1P1/1P2P2P/1b6/8 w - - 100 126
FICS rated standard game,FICS freechess.org,2023.01.30,?,Betin,txbeda,0-1,8/8/8/8/4p3/8/Bp1k1KP1/8 w - - 2 55
FICS rated standard game,FICS freechess.org,2023.01.30,?,exeComp,ArasanX,1/2-1/2,4Q3/6pk/2p4p/p2p3P/P5P1/2q2P2/7K/8 w - - 10 51
FICS rated standard game,FICS freechess.org,2023.01.30,?,Notarious,exeComp,1-0,2k5/b2n1Q2/8/3K2P1/8/8/8/8 w - - 5 76
FICS rated standard game,FICS freechess.org,2023.01.30,?,ArasanX,exeComp,1/2-1/2,8/8/8/8/4B3/2k5/8/3K4 b - - 0 88
